DEBUG 2019-06-19 22:06:45,053  2648ms HomeController         Index              - Debug message
WARN  2019-06-19 22:06:45,529  3124ms HomeController         Index              - Warn message
ERROR 2019-06-19 22:06:45,529  3124ms HomeController         Index              - Error message
FATAL 2019-06-19 22:06:45,530  3125ms HomeController         Index              - Fatal message
INFO  2019-06-20 01:37:49,225 111403ms AdminController        AddUser            -  Пользователь somemail@mail.ru c айпи ::1 добавил пользователя ruslanvolodko6@gmail.com c ролью user
INFO  2019-06-20 01:38:06,791 128969ms ationMyUsersController Edit               -  Пользователь somemail@mail.ru c айпи ::1 изменил пользователя ruslanvolodko6@gmail.com с айди 3d27abdb-c31d-4eb3-8943-47cc720af849
INFO  2019-06-20 01:39:34,354 216532ms ToursController        Edit               -  Пользователь somemail@mail.ru c айпи ::1 изменил тур 1 с названием Отдых в Египте
INFO  2019-06-20 01:40:48,110 290288ms ToursController        Create             -  Пользователь somemail@mail.ru c айпи ::1 добавил тур 0 с названием Город Сокольник
INFO  2019-06-20 01:41:21,617 323795ms JourneysController     Create             -  Пользователь somemail@mail.ru c айпи ::1 добавил путевку 0 со стартовой датой 28.06.2019 0:00:00
INFO  2019-06-20 01:50:55,119 19749ms OrdersController       Create             -  Пользователь somemail@mail.ru c айпи ::1 создал заказ 0
INFO  2019-06-20 13:21:27,960 41265ms ationMyUsersController Edit               -  Пользователь somemail@mail.ru c айпи ::1 изменил пользователя ruslanvolodko6@gmail.com с айди 3d27abdb-c31d-4eb3-8943-47cc720af849
INFO  2019-06-20 13:28:29,214 462519ms JourneysController     Edit               -  Пользователь ruslanvolodko5@gmail.com c айпи ::1 изменил путевку 2 со стартовой датой 21.06.2019 0:00:00
INFO  2019-06-20 13:30:37,461 590766ms JourneysController     Edit               -  Пользователь ruslanvolodko5@gmail.com c айпи ::1 изменил путевку 3 со стартовой датой 25.06.2019 0:00:00
INFO  2019-06-20 13:35:47,767 179177ms JourneysController     Edit               -  Пользователь ruslanvolodko5@gmail.com c айпи ::1 изменил путевку 5 со стартовой датой 22.06.2019 0:00:00
INFO  2019-06-20 13:36:03,020 194429ms JourneysController     Edit               -  Пользователь ruslanvolodko5@gmail.com c айпи ::1 изменил путевку 2 со стартовой датой 21.06.2019 0:00:00
ERROR 2019-06-20 18:26:40,516 41818ms JourneysController     Index              - Входная строка имела неверный формат. Вызвана somemail@mail.ru c айпи ::1
ERROR 2019-06-20 18:26:41,434 42736ms JourneysController     Index              - Входная строка имела неверный формат. Вызвана somemail@mail.ru c айпи ::1
ERROR 2019-06-20 18:26:45,554 46856ms JourneysController     Index              - Входная строка имела неверный формат. Вызвана somemail@mail.ru c айпи ::1
ERROR 2019-06-20 18:26:45,555 46857ms JourneysController     Index              - Входная строка имела неверный формат. Вызвана somemail@mail.ru c айпи ::1
ERROR 2019-06-20 18:26:50,587 51889ms JourneysController     Index              - Входная строка имела неверный формат. Вызвана somemail@mail.ru c айпи ::1
ERROR 2019-06-20 18:26:50,587 51889ms JourneysController     Index              - Входная строка имела неверный формат. Вызвана somemail@mail.ru c айпи ::1
ERROR 2019-06-20 18:26:55,671 56973ms JourneysController     Index              - Входная строка имела неверный формат. Вызвана somemail@mail.ru c айпи ::1
